CosmicWatchDetector
Detektor A
Creating file: FileS054.txt
#####################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Distance: 1 cm; Angle: 0.0 degrees
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
#####################################################################################
DetectorID: Detektor A
DetectorMode: Slave

2021-02-10 18:06:13.994 1 7308 275 47.73 1 21.11
2021-02-10 18:06:14.806 2 8106 300 52.79 15 20.90
2021-02-10 18:06:20.991 3 14305 255 43.96 36 21.11
2021-02-10 18:06:25.521 4 18842 259 44.69 55 20.90
2021-02-10 18:06:29.252 5 22564 561 174.17 74 21.11
2021-02-10 18:06:30.933 6 24265 248 42.69 98 20.79
2021-02-10 18:06:35.250 7 28585 376 76.43 119 21.11
2021-02-10 18:06:36.180 8 29518 332 61.17 138 21.11
2021-02-10 18:06:38.814 9 32137 344 64.67 158 20.90
2021-02-10 18:06:39.448 10 32771 369 73.42 176 21.11
2021-02-10 18:06:40.072 11 33399 236 40.44 194 20.90
2021-02-10 18:06:45.166 12 38485 449 112.05 215 21.33
2021-02-10 18:06:45.427 13 38760 224 38.29 234 21.11
2021-02-10 18:06:49.544 14 42877 286 49.78 254 21.11
2021-02-10 18:06:51.403 15 44726 255 43.96 272 21.33
2021-02-10 18:07:06.232 CosmicWatchDetector
2021-02-10 18:07:09.245 Detektor A
2021-02-10 18:07:12.310 Creating file: FileM132.txt
#####################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
#####################################################################################
2021-02-10 18:07:15.342 DetectorID: Detektor A
2021-02-10 18:07:18.342 DetectorMode: Master
