CosmicWatchDetector
Bravo
Creating file: FileM176.txt
#####################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Distance: 5 cm; Angle: 0.0 degrees
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Rate[N/s]
#####################################################################################
DetectorID: Bravo
DetectorMode: Master

2021-04-25 21:23:59.835 1 996 222 37.96 0 23.80 0.097
2021-04-25 21:24:00.383 2 1543 63 17.91 15 23.91 0.184
2021-04-25 21:24:02.815 3 3978 423 97.36 33 23.91 0.226
2021-04-25 21:24:04.228 4 5392 92 21.32 51 23.48 0.272
2021-04-25 21:24:04.705 5 5871 67 18.51 69 23.48 0.329
2021-04-25 21:24:04.990 6 6155 335 61.77 87 23.91 0.388
2021-04-25 21:24:05.187 7 6351 190 32.33 107 23.91 0.447
2021-04-25 21:24:05.688 8 6853 135 24.92 125 23.48 0.495
2021-04-25 21:24:05.854 9 7019 56 16.76 143 23.80 0.551
2021-04-25 21:24:06.258 10 7423 63 17.91 161 23.80 0.598
2021-04-25 21:24:07.073 11 8239 131 24.54 179 23.80 0.627
2021-04-25 21:24:07.825 12 8991 432 101.61 197 23.91 0.656
2021-04-25 21:24:08.077 13 9243 231 39.55 215 23.80 0.701
2021-04-25 21:24:08.237 14 9404 67 18.51 233 23.91 0.748
2021-04-25 21:24:09.457 15 10624 127 24.18 251 23.91 0.753
2021-04-25 21:24:09.800 16 10970 83 20.46 269 24.23 0.789
2021-04-25 21:24:10.502 17 11670 385 80.11 287 23.80 0.811
