#####################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Current time: 2020-08-18_01-17-45-990254
### Comp_date Comp_time Comp_time[ms] Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
#####################################################################################
2020-08-18 01-17-56.893151 10901 1 13422 220 37.58 2 22.83
2020-08-18 01-18-00.030354 14039 2 16566 73 19.32 7 23.58
2020-08-18 01-18-07.822302 21831 3 24366 230 39.39 15 23.15
2020-08-18 01-18-10.165696 24174 4 26713 238 40.82 21 23.58
2020-08-18 01-18-28.101690 42110 5 44670 222 37.96 33 23.15
2020-08-18 01-18-28.688388 42697 6 45257 451 113.08 38 23.15
2020-08-18 01-18-29.529967 43538 7 46101 384 80.08 43 23.15
2020-08-18 01-18-33.743032 47751 8 50319 323 58.48 49 22.83
2020-08-18 01-18-36.456252 50465 9 53038 67 18.51 55 22.94
2020-08-18 01-18-46.336859 60345 10 62928 108 22.63 60 23.15
2020-08-18 01-19-17.653265 91662 11 94286 287 50.23 75 23.58
2020-08-18 01-19-27.435221 101443 12 104080 184 31.36 83 23.15
2020-08-18 01-19-31.221819 105230 13 107892 307 54.48 88 23.48
2020-08-18 01-19-31.273710 105282 14 107905 199 33.86 93 23.48
2020-08-18 01-19-42.745520 116754 15 119407 280 48.67 100 23.91
2020-08-18 01-19-48.893072 122901 16 125563 179 30.55 108 23.15
2020-08-18 01-19-52.278943 126287 17 128955 135 24.92 113 23.58
2020-08-18 01-19-53.881892 127890 18 130558 159 27.66 118 23.15
2020-08-18 01-20-08.626725 142635 19 145324 96 21.67 126 23.15
2020-08-18 01-20-09.339736 143348 20 146037 206 35.07 131 23.15
2020-08-18 01-20-11.616080 145624 21 148316 120 23.58 137 23.15
2020-08-18 01-20-15.696991 149705 22 152403 268 46.26 143 23.48
2020-08-18 01-20-17.887260 151896 23 154616 451 113.08 148 23.15
2020-08-18 01-20-22.841601 156850 24 159555 209 35.61 153 22.94
2020-08-18 01-20-23.794260 157803 25 160509 156 27.28 158 22.83
2020-08-18 01-20-33.009171 167017 26 169739 204 34.73 165 22.83
2020-08-18 01-20-45.987346 179996 27 182732 422 97.97 173 23.58
2020-08-18 01-20-49.143373 183152 28 185892 240 41.21 180 22.83
2020-08-18 01-21-12.574307 206583 29 209354 412 92.93 194 23.15
2020-08-18 01-21-35.002338 229011 30 231811 207 35.26 204 23.15
2020-08-18 01-21-36.281966 230290 31 233092 252 43.42 209 23.15
2020-08-18 01-21-38.264001 232272 32 235077 172 29.49 214 22.83
2020-08-18 01-21-38.457438 232466 33 235271 224 38.29 219 23.15
2020-08-18 01-22-04.518789 258527 34 261366 391 82.35 233 22.83
2020-08-18 01-22-13.277071 267285 35 270135 352 66.89 241 22.94
2020-08-18 01-22-25.364721 279373 36 282238 287 50.23 250 22.83
2020-08-18 01-22-25.680246 279688 37 282555 248 42.69 255 22.94
2020-08-18 01-22-27.718696 281727 38 284597 216 36.85 260 22.94
2020-08-18 01-22-31.896741 285905 39 288796 433 104.37 265 23.37
2020-08-18 01-22-41.791789 295800 40 298687 248 42.69 271 23.58
