SD initialization failed!
Is there an SD card inserted?
#####################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Distance: 5 cm; Angle: 0.0 degrees
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
#####################################################################################
DetectorID: NCBJ_026
DetectorMode: Master

2020-09-27 22:11:46.5891 5061 227 38.83 0 24.44
2020-09-27 22:11:47.0942 5529 249 42.85 5 24.44
2020-09-27 22:11:47.1113 5584 67 18.51 10 24.44
2020-09-27 22:11:48.2964 6764 480 130.21 15 24.44
2020-09-27 22:11:48.4335 6906 67 18.51 20 24.66
2020-09-27 22:11:49.1726 7647 88 20.96 25 24.66
2020-09-27 22:11:50.0267 8502 79 20.03 30 24.44
2020-09-27 22:11:50.4628 8930 112 22.94 35 24.44
2020-09-27 22:11:52.6609 11108 135 24.92 40 24.66
2020-09-27 22:11:53.03110 11483 88 20.96 45 24.66
2020-09-27 22:11:54.14011 12615 172 29.49 50 24.77
2020-09-27 22:11:54.30212 12751 480 130.21 55 24.77
2020-09-27 22:11:55.07913 13557 67 18.51 60 24.98
